title,media,date,datetime,desc,link,img
Instabilidade em sistemas deixa Paraíba sem boletim com dados da Covid nesta terça-feira (21),Jornal da Paraíba,5 mins ago,,"Segundo a Secretaria Estadual de Saúde (SES), os sistemas e-SUS Notifica, 
Sivep Gripe e SI-PNI não estão funcionando em sua totalidade desde o ataque 
hacker...",https://jornaldaparaiba.com.br/saude/2021/12/21/instabilidade-em-sistemas-deixa-paraiba-sem-boletim-com-dados-da-covid-nesta-terca-feira-21,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Pesquisa de mercado Telefone Pacote Arm 2022-2025: dados dos principais países por fabricantes, situação econômica com análise de tamanho",Minho Diario,0 mins ago,,"O relatório de mercado global Telefone Pacote Arm fornece uma análise 
histórica e prevista das indústrias upstream, midstream e downstream com 
novas...",http://minhodiario.com/2021/12/22/pesquisa-de-mercado-telefone-pacote-arm-2022-2025-dados-dos-principais-paises-por-fabricantes-situacao-economica-com-analise-de-tamanho/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Sem dados do Ministério da Saúde, municípios do interior do RJ deixam de divulgar dados da Covid",Portal Multiplix,1 hour ago,2021-12-21 16:22:51.085512,"Desde os ataques de hackers que afetaram plataformas como o ConectSUS, 
algumas prefeituras contabilizam números em sistemas próprios.",https://www.portalmultiplix.com/noticias/sem-dados-do-ministerio-da-saude-municipios-do-interior-do-rj-deixam-de-divulgar-dados-da-covid,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Fundação Telefônica Vivo leva a Ciência de Dados a escolas públicas,TeleSíntese,1 hour ago,2021-12-21 16:22:51.098921,"Em parceria com Secretarias de Educação de ES, SC e MS, Fundação Telefônica 
Vivo desenvolve grade curricular em Ciência de Dados.",https://www.telesintese.com.br/fundacao-telefonica-vivo-leva-a-ciencia-de-dados-a-escolas-publicas/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sefa realiza maratona de dados para prevenção de fraude fiscal,ZÉ DUDU,1 hour ago,2021-12-21 16:22:51.110904,"O evento, realizado nesta segunda-feira (20), reuniu auditores e pessoal da 
área de tecnologia da secretaria. O objetivo é usar a tecnologia,...",https://www.zedudu.com.br/sefa-realiza-maratona-de-dados-para-prevencao-de-fraude-fiscal/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Fundação Telefônica Vivo lança projeto de curso de Ciência de Dados para ensino médio,TELETIME News,2 hours ago,2021-12-21 15:22:51.122301,"A Fundação Telefônica Vivo lançou nesta terça-feira, 21, o projeto Ciência 
de Dados, voltado à capacitação neste tema para alunos do ensino médio em 
escolas...",https://teletime.com.br/21/12/2021/fundacao-telefonica-vivo-lanca-projeto-de-curso-de-ciencia-de-dados-para-ensino-medio/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ataque hacker desativa sistemas internos e apaga dados da Polícia Federal e Rodoviária,TudoCelular.com,2 hours ago,2021-12-21 15:22:51.133594,"Hackers invadiram os sistemas internos da Polícia Federal (PF) e Polícia 
Rodoviária Federal (PRF) no dia 10 de dezembro, segundo as informações 
obtidas pelo...",https://www.tudocelular.com/seguranca/noticias/n183940/ataque-hacker-dados-policia-federal-rodoviaria.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Como a abertura de dados vai impulsionar o setor elétrico brasileiro,Exame,2 hours ago,2021-12-21 15:22:51.144897,"Com dados mais acessíveis e combinados com tecnologia, é possível atuar no 
segmento estimulando inovação e digitalização sem grandes investimentos.",https://exame.com/bussola/como-a-abertura-de-dados-vai-impulsionar-o-setor-eletrico-brasileiro/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Sorriso: Grupo de trabalho busca maneiras de ampliar proteção de dados,CenárioMT,2 hours ago,2021-12-21 15:22:51.156057,"Ao mesmo tempo em que se constata a tecnologia está cada vez mais presente 
na vida de cada pessoa, concretizando a profecia de McLuhan, que dizia que 
“os.",https://www.cenariomt.com.br/mato-grosso/sorriso/sorriso-grupo-de-trabalho-busca-maneiras-de-ampliar-protecao-de-dados/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Juliano Fontes: apostas no trade esportivo investem em dados, não na sorte",Exame,3 hours ago,2021-12-21 14:22:51.167205,"Câmara dos Deputados votará em requerimento histórico para substituir 
projeto 442/1991 sobre regularização dos jogos de azar.",https://exame.com/bussola/juliano-fontes-apostas-no-trade-esportivo-investem-em-dados-nao-na-sorte/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
